Area,Effect,Original,/ Replication Study Authors,Effect Size (± 95% CI),Protocol URL,OSF URL (Data/Materials),Subjectively Replicates?,Active Sample Evidence / Positive Controls
,,,"Joy-Gaba, Clay, & Cleary (2015)",η2 = .03,https://osf.io/7uh8g/,https://osf.io/vnsqg/,no,
,"When Ps anticipated playing confrontational games, Ps preferred anger-inducing activities moreso than exciting and neutral activities.",,,,,,,
,,"Tamir, Mitchell et al. (2008) Study 1",,"F(2,162) = 192.9",,,,
,,,Masicampo (2015),"ηp^2=.74 [F(2,174)=252.8]",https://osf.io/7i2tf/,https://osf.io/k4y9i/,yes,
,Socially disconnected condition Ps reported stronger beliefs in supernatural agents and events (and attributed more social traits to pets) compared to control condition Ps.,,,,,,,
,,"Epley, Akalis et al. (2008) Study 3",,η2 = .12,,,,
,,,Sandstrom & Dunn (2015),η2 = .02,https://osf.io/m5a2c/,https://osf.io/yuybh/,no,
,Ps in an intergroup prisoner’s dilemma-maximizing difference (IPD-MD) game contributed fewer tokens than Ps in an intergroup prisoner’s dilemma (IPD) game.,,,,,,,
,,"Halevy, Bornstein et al. (2008) Study 1",,η2 = .59,,,,
,,,"Thomae, Woo, & Immelman (2015)",η2 = .426,https://osf.io/sjwcd/,https://osf.io/76qc5/,yes,
,"Attached women are more attracted to single men when they're ovulating (compared to not ovulating), but are more attracted to attached men when they're not ovulating (compared to ovulating).",,,,,,,
,,Bressan & Stranieri (2008) Study 2,,f = 0.19,,,,
,,,Frazier & Hasselman (2015) Study 1,η2 = .001,https://osf.io/7vriw/,https://osf.io/blcj6/,no,
,,,Frazier & Hasselman (2015) Study 2,η2 = 0.000,https://osf.io/7vriw/,https://osf.io/blcj6/,no,
,"After experiencing disgust, Ps who washed their hands judged questionable behaviors as less morally wrong than Ps who did not wash their hands.",,,,,,,
,,"Schnall, Benton & Harvey (2008) Study 2",,d = -.85 ± .62,,,,
,,,Cheung et al. (2015) Study 2,d = +.02 ± .35,https://osf.io/2dem3/,https://osf.io/apidb/,no,See also associated collection at http://curatescience.org/#sbh2008a
,Perceptions of National Characters (PNC) measure negatively correlated with behavioural and demographic measures of conscientiousness (validity criteria).,,,,,,,
,,"Heine, Buchtel et al. (2008) Study 1",,r = -.43,,,,
,,,Lazarevic & Knezevic (2015),r= .-11,https://osf.io/g4hn3/,https://osf.io/siaqe/,yes,
,"Ps scoring high in dominance exhibited faster RTs to vertical compare to horizontal stimuli, unlike Ps scoring low in dominance.",,,,,,,
,,"Moeller, Robinson et al. (2008) Study 2",,r = -.31,,,,
,,,Levitan & Fernandez-Castilla (2015),r = .034,https://osf.io/7dybc/,https://osf.io/tg2wd/,no,
,Interaction between Perspective Memory (PM) cue dimension and compatibility on mean proportion of errors (missed PM cues).,,,,,,,
,,Goschke & Dreisbach (2008) Study 1,,η2 = .14,,,,
,,,Costantini & Perugini (2015),η2 = .17,https://osf.io/pnius/,https://osf.io/bk53t/,yes,
,Ps underestimated number of pictures belonging to category for which they expected to be paid compared to control pictures in non-endowed category.,,,,,,,
,,"Dai, Wertenbroch et al. (2008) Study 1",,w = .339,,,,
,,,"Fuchs, Estel, & Goellner (2015)",w = .19,https://osf.io/js7gd/,https://osf.io/q7f6w/,no,
COGNITION,,,,,,,,
,"Effect of relation between target and distractor was present for picture naming, but absent for word reading.",,,,,,,
,,Roelofs (2008) Study 3,,η2 = 0.354,,,,
,,,van Rijn (2015),η2 = .02,https://osf.io/janu3/,https://osf.io/qwkum/,no,
,Repetition blindness (RB) effect observed for nonwords.,,,,,,,
,,Morris & Still (2008) Study 6,,η2 = .374,,,,
,,,Goodbourn (2015),η2 = .051,https://osf.io/5f42t/,https://osf.io/rmvk5/,no,
,Lower recall for low-switch lists with degraded stimuli compared to low-switch lists with normal (non-degraded) stimuli.,,,,,,,
,,"Liefooghe, Barouillet et al. (2008) Study 4",,η2 = .181,,,,
,,,"Plessow, Moschl, & Pavel (2015)",η2 = .046,https://osf.io/2h4vx/,https://osf.io/4dvzb/,no,
,Larger relearning effect for non-practiced items from practiced categories than non-practiced items from non-practiced categories.,,,,,,,
,,"Storm, Bjork & Bjork (2008) Study 1",,η2 = .052,,,,
,,,Callahan (2015),η2 = .00003,https://osf.io/4m3py/,https://osf.io/8j9cg/,no,
,Intermixed–blocked effect: Intermixed pre-exposure to stimuli lead to better  performance (perceptual learning) compared to non-intermixed pre-exposure.,,,,,,,
,,"Mitchell, Nash & Hall (2008) Study 2",,dz = .51,,,,
,,,Lakens (2015),ηp^2 = .02,https://osf.io/beckg/,https://osf.io/4xdkk/,no,
,Faster RTs to misses compared to correct rejections (suggesting memory sources for priming and recognition are independent).,,,,,,,
,,"Berry, Shanks & Henson (2008) Study 1",,dz = .724,,,,
,,,Meixner & Bruning (2015),d = .424,https://osf.io/87gna/,https://osf.io/atgp5/,yes,
,Enhanced memory for order of words when word lists contained only short words compared to when word lists only contained long words.,,,,,,,
,,"Beaman, Neath et al. (2008) Study 2",,d = 1.02,,,,
,,,Kleinberg & Kunkels (2015),d = .13,https://osf.io/a6mje/,https://osf.io/6n3bm/,no,
,Higher number of incorrect judgments observed for schema-consistent attributions in neutral proportion condition and schema-inconsistent attributions in conflicting proportion condition.,,,,,,,
,,"Dodson, Darragh et al. (2008) Study 3",,η2 = .32,,,,
,,,Calhoun-Sauls (2015),η2 = .012,https://osf.io/b9dpu/,https://osf.io/c5pbg/,no,
,Comparative distance effect observed when task required numerical matching.,,,,,,,
,,Ganor-Stern & Tzelgov (2008) Study 2,,ηp^2 = .488,,,,
,,,Shaki (2015),ηp^2 = .55,https://osf.io/7mgwh/,https://osf.io/vmipw/,yes,
,"Words with many near neighbors (e.g., chicken) associated with increased level of processing (i.e., categorized more slowly) compared to words with few near neighbors (e.g., hyena)",,,,,,,
,,Mirman & Magnuson (2008) Study 2,,η2 = .452,,,,
,,,Bosco & Field (2015),η2 = .218,https://osf.io/r57hu/,https://osf.io/rvkc5/,yes,
,Pronounced disruptive effect of between-sequence phonological similarity on free recall of lists of end rhyming words.,,,,,,,
,,"Marsh, Vachon, & Jones (2008) Study 1",,d = .52,,,,
,,,Bell (2015),η2 = .014,https://osf.io/sqcwk/,https://osf.io/7rtcz/,no,
,"RTs faster when participants were given the same mathematical operation to practice and to test, relative to operational change or a new problem.",,,,,,,
,,Campbell & Robert (2008) Study 3,,η2 = .550,,,,
,,,Ricker (2015),η2 = .55,https://osf.io/bux7k/,https://osf.io/gxvd3/,yes,
,Higher number of errors on low contingency trials compared to medium contingency trials.,,,,,,,
,,Schmidt & Besner (2008) Study 2,,d = .198,,,,
,,,Cloud (2015),d = .255,https://osf.io/bskwq/,https://osf.io/bscfe/,yes,
,Tendency to underestimate (overstimate) frequency of positive (negative) observations increased from provider with smallest to provider with highest overall frequency due to differential regression effects.,,,,,,,
,,Fiedler (2008) Study 2,,η2 = .186,,,,
,,,Glockner & Jekel (2015),η2 = .28,https://osf.io/vtz2i/,https://osf.io/hp27x/,yes,
,Higher new probe accuracy for short compared to long lists.,,,,,,,
,,Oberauer (2008) Study 3,,η2 = .31,,,,
,,,"Bosch, Neijenhuijs et al. (2015)",η2 = .162,https://osf.io/n32zj/,https://osf.io/gcj7x/,no,
,Directed forgetting effect observed for spaced but not grouped (massed) items.,,,,,,,
,,"Sahakyan, Delaney et al. (2008) Study 3",,η2 = .05,,,,
,,,Fiedler & May (2015),η2 = .0004,https://osf.io/kcwfa/,https://osf.io/bzdr2/,no,
,"Bilingual Ps less successful than monolinguals at reporting T2 target when it lagged a successfully identified T1 target by 2 items (i.e., at lag 3).",,,,,,,
,,"Colzato, Bajo et al. (2008) Study 3",,MSE = .009,,,,
,,,Kappes (2015),η2 = .01,https://osf.io/a5ukz/,https://osf.io/p9thw/,no,
,RT difference between sum and neutral targets larger when cue digits primed with categorical (compared to unrelated or functionally related) primes.,,,,,,,
,,"Bassok, Pedigo et al. (2008) Study 1",,"F(1, 152) = 23.2",,,,
,,,"Hung, Lin, & Tsang (2015)","MSE=9999 [F(1,48)=4.2]",https://osf.io/irgbs/,https://osf.io/sqim7/,yes,
,"Likelihood of producing a given response increased as a function of the number of times same response had previously been recalled, even for errors.",,,,,,,
,,"Couture, Lafond, & Tremblay (2008) Study 1",,d = 1.51,,,,
,,,Roebke & Penna (2015),η2 = .224,https://osf.io/qm5n6/,https://osf.io/k9gp6/,yes,
,No delay in response when switching between pronouncing regular words and nonwords.,,,,,,,
,,Reynolds & Besner (2008) Study 5,,η2 = .026,,,,
,,,Lai & Simpson (2015),η2 = .021,https://osf.io/fkcn5/,https://osf.io/hasfu/,yes,
,Larger frequency effect for degraded compared to non-degraded words (interaction between stimulus quality and word frequency).,,,,,,,
,,"Yap, Balota et al. (2008) Study 4",,η2 = .143,,,,
,,,Chartier (2015),η2 = .144,https://osf.io/dh4jx/,https://osf.io/ahpik/,yes,
,RTs slower for semantically-related compared to semantically unrelated word-picture pairs in a delayed picture naming task.,,,,,,,
,,"Janssen, Schirm et al. (2008a) Study 1",,d = .74,,,,
,,,Galak (2015),η2 = .011,https://osf.io/5p7i6/,https://osf.io/uhpyr/,no,
,Above-chance recall rate on real-triplet test trials compared to familiarization phase (can visual statistical learning be feature-based over colors of objects?).,,,,,,,
,,"Turk-Brown, Isola et al. (2008) Study 4b",,η2 = .09,,,,
,,,Ostkamp & Jakel (2015),d = .957,https://osf.io/ktnmc/,https://osf.io/ujhlw/,yes,
,A+ instances raised judgment of A and lowered judgment of B as causes for outcome.,,,,,,,
,,White (2008) Study 3,,η2 = .427,,,,
,,,Muller & Renkewitz (2015),η2 = .15,https://osf.io/x7c9i/,https://osf.io/rhbqj/,yes,
,"Ps instructed to group items induced temporal gap between groups, both when trying to recall order of items and when trying to recall timing of items.",,,,,,,
,,Farrell (2008) Study 2,,d = .60,,,,
,,,Olsson & Saxe (2015),d = .37,https://osf.io/tqf2u/,https://osf.io/swrhy/,yes,
,Number of correct responses differed only as a function of the type of dependency.,,,,,,,
,,Pacton & Perruchet (2008) Study 4b,,η2 = .51,,,,
,,,Jahn (2015),η2 = .46,https://osf.io/asn7w/,https://osf.io/vmz2e/,yes,
,"For both shape and color conditions, better recall for retro(active) compared to simultaneous cue at all set sizes (except set size = 1).",,,,,,,
,,"Makovski, Sussman et al. (2008) Study 3",,η2 = .304,,,,
,,,Moore (2015),η2 = .122,https://osf.io/xtcuv/,https://osf.io/0pxro/,yes,
,Comparison of correlations between ART and drug use in sunny versus cloudy conditions; a successful replication would find that the learning process hinders the diagnosticity of the ART in identifying individuals at increased risk of using hazardous drugs.,,,,,,,
,,Pleskac (2008) Study 1,,z = 3.10,,,,
,,,"Forsell, Dreber et al. (2015)",z = 1.25,https://osf.io/gyn9e/,https://osf.io/38ges/,no,
,"Directional language (e.g., ""to the left"") helps children bind color and shape information to a greater extent than relational language alone (e.g., ""next to"").",,,,,,,
,,Dessalegn & Landau (2008) Study 4,,d = .82,,,,
,,,Fitneva (2015),d = .48,https://osf.io/83n4z/,https://osf.io/iajp5/,no,
,"More precise (e.g., $9.99) compared to less price (e.g., $10) anchors decreased (anchoring effect) adjustment.",,,,,,,
,,Janiszewski & Uy (2008) Study 4,,ηp^2 = .02,,,,
,,,Chandler (2015),ηp^2 = .05,https://osf.io/ehjdm/,https://osf.io/aaudl/,yes,
,Sample entropy was higher for middle-truth-value questions than for low- and high-truth-value questions.,,,,,,,
,,"McKinstry, Dale, & Spivey (2008) Study 1",,r = -.70,,,,
,,,"Saxe, Velez, & Feather (2015)",r = -.75,https://osf.io/pu9nb/,https://osf.io/d0n81/,yes,
,"Older children selected correct object more frequently than would be expected by chance on ""where"" trials.",,,,,,,
,,Nurmsoo & Bloom (2008) Study 1,,d = .571,,,,
,,,"Brown, Kleinberg et al. (2015)",d = .286,https://osf.io/ictp5/,https://osf.io/aczvt/,no,
,Averaging two guesses within one person provides a more accurate answer than either guess alone.,,,,,,,
,,Vul & Pashler (2008) Study 1,,d = .47,,,,
,,,"Steegen, Vanpaemel et al. (2015)",d = .34,https://osf.io/7kimb/,https://osf.io/ivfu6/,yes,
,"Selection is (a) suppressed (efficacy), (b) delayed (latency), and (c) diffused (precision) in time during the attentional blink as demonstrated significant main effects of each of these factors and by a significant three way interaction between SOA, measure (efficacy, latency, precision).",,,,,,,
,,"Vul, Nieuwenstein et al. (2008) Study 1",,η2 = .308,,,,
,,,Barnett-Cowan (2015),η2 = .261,https://osf.io/jupew/,https://osf.io/rzjvn/,yes,
,Fewer localization errors for targets compared to distractors in the centroid condition.,,,,,,,
,,Alvarez & Oliva (2008) Study 3,,dz = -.976,,,,
,,,Schlegelmilch et al. (2015),dz = -2.33,https://osf.io/dm2kj/,https://osf.io/dnaxe/,yes,
,Motion aftereffects were present following the presentation of a still photograph depicting motion,,,,,,,
,,"Winawer, Huk, & Boroditsky (2008) Study 3",,d = -.94,,,,
,,,"Levitan, Errington & Gampa (2015)",d = -.62,https://osf.io/ertbg/,https://osf.io/mjasz/,yes,
,Higher recall for words rated for survival relevance compared to control words.,,,,,,,
,,"Nairne, Pandeirada et al. (2008) Study 2",,η2 = .20,,,,
,,,Muller & Renkewitz (2015),η2 = .18,https://osf.io/v4d2b/,https://osf.io/jhkpe/,yes,
,Auditory memory makes change detection easier in audition than in vision.,,,,,,,
,,"Demany, Trost et al. (2008) Study 5",,η2 = .74,,,,
,,,Snyder & Irsik (2015),η2 = .76,https://osf.io/wx74s/,https://osf.io/ta3j8/,yes,
,"Color and object naming times in the congruent condition were faster than in the incongruent condition in the color and object naming tasks, respectively, but these differences did not reach significance.",,,,,,,
,,"Janssen, Alario et al. (2008b) Study 2",,d = 1.71,,,,
,,,Melinger (2015),dz = .548,https://osf.io/e3ry5/,https://osf.io/dncxa/,no,
,There was a significant interaction between viewpoint (prototypical or non-prototypical) and visual field (upper visual field or lower visual field) on the probability of the first fixation being on the target.,,,,,,,
,,Forti & Humphreys (2008) Study 1,,η2 = .522,,,,
,,,Dorrough & Fiedler (2015),η2 = .0065,https://osf.io/nhqgs/,https://osf.io/tf8ky/,no,
,Surfaces with a single EE (EE1) along the shared contour were perceived as closer than surfaces with two EE's orthogonal to the shared contour (Convex2),,,,,,,
,,Palmer & Ghose (2008) Study 2,,d = 1.573,,,,
,,,"Saxe, Velez, & Johnston (2015)",d = .11,https://osf.io/27cmh/,https://osf.io/0aifq/,no,
,"Faster identification RTs for fear-relevant compared to fear-irrelevant stimuli, in both children and adults.",,,,,,,
,,Lobue & DeLoache (2008) Study 3,,η2 = . 23,,,,
,,,"Cramblet, Alvarez et al. (2015)",η2 = .032,https://osf.io/5ygej/,https://osf.io/sd7kg/,no,
,Attentional effect of object words interfered with the visual perception of a target in the typical location of the object.,,,,,,,
,,"Estes, Verges, & Barsalou (2008) Study 1",,η2 = .70,,,,
,,,Renkewitz & Muller (2015),η2 = .065,https://osf.io/b7zek/,https://osf.io/vwnit/,no,